1,0,1,0;
1 1523,0 0,1 0,0;1 1523,0 0,0 1,0;
1523 1524,0 0,1 0,0;1523 1524,0 0,0 1,0;
1524 1525,0 0,1 0,0;1524 1525,0 0,0 1,0;
1525 1526,0 0,1 0,0;1525 1526,0 0,0 1,0;
1526 1527,0 0,1 0,0;1526 1527,0 0,0 1,0;
1527 1528,0 0,1 0,0;1527 1528,0 0,0 1,0;
1528 1529,0 0,1 0,0;1528 1529,0 0,0 1,0;
1529 1530,0 0,1 0,0;1529 1530,0 0,0 1,0;
1530 1531,0 0,1 0,0;1530 1531,0 0,0 1,0;
1531 1532,0 0,1 0,0;1531 1532,0 0,0 1,0;
1532 1533,0 0,1 0,0;1532 1533,0 0,0 1,0;
1533 1534,0 0,1 0,0;1533 1534,0 0,0 1,0;
1534 1535,0 0,1 0,0;1534 1535,0 0,0 1,0;
1535 1536,0 0,1 0,0;1535 1536,0 0,0 1,0;
1536 1537,0 0,1 0,0;1536 1537,0 0,0 1,0;
1537 1538,0 0,1 0,0;1537 1538,0 0,0 1,0;
1538 1539,0 0,1 0,0;1538 1539,0 0,0 1,0;
1539 1540,0 0,1 0,0;1539 1540,0 0,0 1,0;
1540 1541,0 0,1 0,0;1540 1541,0 0,0 1,0;
1541 1542,0 0,1 0,0;1541 1542,0 0,0 1,0;
1542 1543,0 0,1 0,0;1542 1543,0 0,0 1,0;
1543 1544,0 0,1 0,0;1543 1544,0 0,0 1,0;
3 1544,0 0,1 0,0;3 1544,0 0,0 1,0;
