2534 2535,0 0,1 0,0;2534 2535,0 0,0 1,0;
2534 2536,0 0,1 0,0;2534 2536,0 0,0 1,0;
2536 2537,0 0,1 0,0;2536 2537,0 0,0 1,0;
2537 2538,0 0,1 0,0;2537 2538,0 0,0 1,0;
2538 2539,0 0,1 0,0;2538 2539,0 0,0 1,0;
2539 2540,0 0,1 0,0;2539 2540,0 0,0 1,0;
2540 2541,0 0,1 0,0;2540 2541,0 0,0 1,0;
2541 2542,0 0,1 0,0;2541 2542,0 0,0 1,0;
2542 2543,0 0,1 0,0;2542 2543,0 0,0 1,0;
2543 2544,0 0,1 0,0;2543 2544,0 0,0 1,0;
2544 2545,0 0,1 0,0;2544 2545,0 0,0 1,0;
2545 2546,0 0,1 0,0;2545 2546,0 0,0 1,0;
2546 2547,0 0,1 0,0;2546 2547,0 0,0 1,0;
2547 2548,0 0,1 0,0;2547 2548,0 0,0 1,0;
2548 2549,0 0,1 0,0;2548 2549,0 0,0 1,0;
2549 2550,0 0,1 0,0;2549 2550,0 0,0 1,0;
2550 2551,0 0,1 0,0;2550 2551,0 0,0 1,0;
1 2551,0 0,1 0,0;1 2551,0 0,0 1,0;
1 3 4,0 1 2,1 1 1,1.070083699663014;1 3 4,0 0 1,1 0 1,1.0700815440053233;1 3 4,0 0 1,0 1 1,1.001922263827471;1 3 4,0 1 0,1 1 0,1.0700349525479615;1 3 4,0 1 0,0 1 1,1.002905467856067;1 3 4,0 1 1,1 1 0,1.0700349525479615;1 3 4,0 1 1,1 0 1,1.0700815440053233;1 3 4,0 0 0,1 0 0,1.0700327968902708;1 3 4,0 0 0,0 1 0,1.0013572730979485;1 3 4,0 0 0,0 0 1,1.0022189470036633;
3 2552,0 0,1 0,0;3 2552,0 0,0 1,0;
2552 2553,0 0,1 0,0;2552 2553,0 0,0 1,0;
2553 2554,0 0,1 0,0;2553 2554,0 0,0 1,0;
2554 2555,0 0,1 0,0;2554 2555,0 0,0 1,0;
2555 2556,0 0,1 0,0;2555 2556,0 0,0 1,0;
2556 2557,0 0,1 0,0;2556 2557,0 0,0 1,0;
6 2557,0 0,1 0,0;6 2557,0 0,0 1,0;
