1638 1639,0 0,1 0,0;1638 1639,0 0,0 1,0;
1638 1640,0 0,1 0,0;1638 1640,0 0,0 1,0;
1640 1641,0 0,1 0,0;1640 1641,0 0,0 1,0;
1641 1642,0 0,1 0,0;1641 1642,0 0,0 1,0;
1642 1643,0 0,1 0,0;1642 1643,0 0,0 1,0;
1643 1644,0 0,1 0,0;1643 1644,0 0,0 1,0;
1644 1645,0 0,1 0,0;1644 1645,0 0,0 1,0;
1645 1646,0 0,1 0,0;1645 1646,0 0,0 1,0;
1646 1647,0 0,1 0,0;1646 1647,0 0,0 1,0;
1647 1648,0 0,1 0,0;1647 1648,0 0,0 1,0;
1648 1649,0 0,1 0,0;1648 1649,0 0,0 1,0;
1649 1650,0 0,1 0,0;1649 1650,0 0,0 1,0;
1650 1651,0 0,1 0,0;1650 1651,0 0,0 1,0;
1651 1652,0 0,1 0,0;1651 1652,0 0,0 1,0;
1652 1653,0 0,1 0,0;1652 1653,0 0,0 1,0;
1653 1654,0 0,1 0,0;1653 1654,0 0,0 1,0;
1654 1655,0 0,1 0,0;1654 1655,0 0,0 1,0;
1655 1656,0 0,1 0,0;1655 1656,0 0,0 1,0;
1656 1657,0 0,1 0,0;1656 1657,0 0,0 1,0;
1657 1658,0 0,1 0,0;1657 1658,0 0,0 1,0;
1658 1659,0 0,1 0,0;1658 1659,0 0,0 1,0;
1 1659,0 0,1 0,0;1 1659,0 0,0 1,0;
4 1660,0 0,1 0,0;4 1660,0 0,0 1,0;
1660 1661,0 0,1 0,0;1660 1661,0 0,0 1,0;
1661 1662,0 0,1 0,0;1661 1662,0 0,0 1,0;
1662 1663,0 0,1 0,0;1662 1663,0 0,0 1,0;
1663 1664,0 0,1 0,0;1663 1664,0 0,0 1,0;
1664 1665,0 0,1 0,0;1664 1665,0 0,0 1,0;
1665 1666,0 0,1 0,0;1665 1666,0 0,0 1,0;
1666 1667,0 0,1 0,0;1666 1667,0 0,0 1,0;
1667 1668,0 0,1 0,0;1667 1668,0 0,0 1,0;
1668 1669,0 0,1 0,0;1668 1669,0 0,0 1,0;
1669 1670,0 0,1 0,0;1669 1670,0 0,0 1,0;
1670 1671,0 0,1 0,0;1670 1671,0 0,0 1,0;
1671 1672,0 0,1 0,0;1671 1672,0 0,0 1,0;
1672 1673,0 0,1 0,0;1672 1673,0 0,0 1,0;
1673 1674,0 0,1 0,0;1673 1674,0 0,0 1,0;
1674 1675,0 0,1 0,0;1674 1675,0 0,0 1,0;
1675 1676,0 0,1 0,0;1675 1676,0 0,0 1,0;
1676 1677,0 0,1 0,0;1676 1677,0 0,0 1,0;
1677 1678,0 0,1 0,0;1677 1678,0 0,0 1,0;
1678 1679,0 0,1 0,0;1678 1679,0 0,0 1,0;
1679 1680,0 0,1 0,0;1679 1680,0 0,0 1,0;
1680 1681,0 0,1 0,0;1680 1681,0 0,0 1,0;
1681 1682,0 0,1 0,0;1681 1682,0 0,0 1,0;
1682 1683,0 0,1 0,0;1682 1683,0 0,0 1,0;
1683 1684,0 0,1 0,0;1683 1684,0 0,0 1,0;
1684 1685,0 0,1 0,0;1684 1685,0 0,0 1,0;
1685 1686,0 0,1 0,0;1685 1686,0 0,0 1,0;
1686 1687,0 0,1 0,0;1686 1687,0 0,0 1,0;
1687 1688,0 0,1 0,0;1687 1688,0 0,0 1,0;
1688 1689,0 0,1 0,0;1688 1689,0 0,0 1,0;
1689 1690,0 0,1 0,0;1689 1690,0 0,0 1,0;
5 1690,0 0,1 0,0;5 1690,0 0,0 1,0;
5 6 7,0 1 2,1 1 1,1.1109189200126828;5 6 7,0 0 1,1 0 1,1.1108484431543078;5 6 7,0 0 1,0 1 1,1.1102315551784725;5 6 7,0 1 0,1 1 0,1.0051313318550212;5 6 7,0 1 0,0 1 1,1.1102315551784725;5 6 7,0 1 1,1 1 0,1.0045979523154445;5 6 7,0 1 1,1 0 1,1.1108484431543078;5 6 7,0 0 0,1 0 0,1.00325330279942;5 6 7,0 0 0,0 1 0,1.0020516145117873;5 6 7,0 0 0,0 0 1,1.1101610783200975;
6 1691,0 0,1 0,0;6 1691,0 0,0 1,0;
1691 1692,0 0,1 0,0;1691 1692,0 0,0 1,0;
1692 1693,0 0,1 0,0;1692 1693,0 0,0 1,0;
1693 1694,0 0,1 0,0;1693 1694,0 0,0 1,0;
1694 1695,0 0,1 0,0;1694 1695,0 0,0 1,0;
1695 1696,0 0,1 0,0;1695 1696,0 0,0 1,0;
1696 1697,0 0,1 0,0;1696 1697,0 0,0 1,0;
1697 1698,0 0,1 0,0;1697 1698,0 0,0 1,0;
1698 1699,0 0,1 0,0;1698 1699,0 0,0 1,0;
1699 1700,0 0,1 0,0;1699 1700,0 0,0 1,0;
1700 1701,0 0,1 0,0;1700 1701,0 0,0 1,0;
1701 1702,0 0,1 0,0;1701 1702,0 0,0 1,0;
1702 1703,0 0,1 0,0;1702 1703,0 0,0 1,0;
1703 1704,0 0,1 0,0;1703 1704,0 0,0 1,0;
1704 1705,0 0,1 0,0;1704 1705,0 0,0 1,0;
1705 1706,0 0,1 0,0;1705 1706,0 0,0 1,0;
1706 1707,0 0,1 0,0;1706 1707,0 0,0 1,0;
1707 1708,0 0,1 0,0;1707 1708,0 0,0 1,0;
1708 1709,0 0,1 0,0;1708 1709,0 0,0 1,0;
1709 1710,0 0,1 0,0;1709 1710,0 0,0 1,0;
1710 1711,0 0,1 0,0;1710 1711,0 0,0 1,0;
1711 1712,0 0,1 0,0;1711 1712,0 0,0 1,0;
1712 1713,0 0,1 0,0;1712 1713,0 0,0 1,0;
9 1713,0 0,1 0,0;9 1713,0 0,0 1,0;
