1,0,1,0;
1 2900,0 0,1 0,0;1 2900,0 0,0 1,0;
2900 2901,0 0,1 0,0;2900 2901,0 0,0 1,0;
2901 2902,0 0,1 0,0;2901 2902,0 0,0 1,0;
2902 2903,0 0,1 0,0;2902 2903,0 0,0 1,0;
3 2903,0 0,1 0,0;3 2903,0 0,0 1,0;
3 4 5,0 1 2,1 1 1,1.0594175894876117;3 4 5,0 0 1,1 0 1,1.0594175894876117;3 4 5,0 0 1,0 1 1,1.0594175894876117;3 4 5,0 1 0,1 1 0,1.0594175894876117;3 4 5,0 1 0,0 1 1,1.0594175894876117;3 4 5,0 1 1,1 1 0,1.0594175894876117;3 4 5,0 1 1,1 0 1,1.0594175894876117;3 4 5,0 0 0,1 0 0,1.0594175894876117;3 4 5,0 0 0,0 1 0,1.0594175894876117;3 4 5,0 0 0,0 0 1,1.0594175894876117;
4 2904,0 0,1 0,0;4 2904,0 0,0 1,0;
2904 2905,0 0,1 0,0;2904 2905,0 0,0 1,0;
2905 2906,0 0,1 0,0;2905 2906,0 0,0 1,0;
2906 2907,0 0,1 0,0;2906 2907,0 0,0 1,0;
2907 2908,0 0,1 0,0;2907 2908,0 0,0 1,0;
2908 2909,0 0,1 0,0;2908 2909,0 0,0 1,0;
2909 2910,0 0,1 0,0;2909 2910,0 0,0 1,0;
2910 2911,0 0,1 0,0;2910 2911,0 0,0 1,0;
2911 2912,0 0,1 0,0;2911 2912,0 0,0 1,0;
2912 2913,0 0,1 0,0;2912 2913,0 0,0 1,0;
2913 2914,0 0,1 0,0;2913 2914,0 0,0 1,0;
2914 2915,0 0,1 0,0;2914 2915,0 0,0 1,0;
2915 2916,0 0,1 0,0;2915 2916,0 0,0 1,0;
2916 2917,0 0,1 0,0;2916 2917,0 0,0 1,0;
2917 2918,0 0,1 0,0;2917 2918,0 0,0 1,0;
2918 2919,0 0,1 0,0;2918 2919,0 0,0 1,0;
2919 2920,0 0,1 0,0;2919 2920,0 0,0 1,0;
2920 2921,0 0,1 0,0;2920 2921,0 0,0 1,0;
2921 2922,0 0,1 0,0;2921 2922,0 0,0 1,0;
2922 2923,0 0,1 0,0;2922 2923,0 0,0 1,0;
7 2923,0 0,1 0,0;7 2923,0 0,0 1,0;
