1,0,1,0;
1 2388,0 0,1 0,0;1 2388,0 0,0 1,0;
2388 2389,0 0,1 0,0;2388 2389,0 0,0 1,0;
2389 2390,0 0,1 0,0;2389 2390,0 0,0 1,0;
2390 2391,0 0,1 0,0;2390 2391,0 0,0 1,0;
2391 2392,0 0,1 0,0;2391 2392,0 0,0 1,0;
3 2392,0 0,1 0,0;3 2392,0 0,0 1,0;
3 4 5,0 1 2,1 1 1,1.0736198425846504;3 4 5,0 0 1,1 0 1,1.0736198425846504;3 4 5,0 0 1,0 1 1,1.0736198425846504;3 4 5,0 1 0,1 1 0,1.0736198425846504;3 4 5,0 1 0,0 1 1,1.0736198425846504;3 4 5,0 1 1,1 1 0,1.0736198425846504;3 4 5,0 1 1,1 0 1,1.0736198425846504;3 4 5,0 0 0,1 0 0,1.0736198425846504;3 4 5,0 0 0,0 1 0,1.0736198425846504;3 4 5,0 0 0,0 0 1,1.0736198425846504;
4 2393,0 0,1 0,0;4 2393,0 0,0 1,0;
2393 2394,0 0,1 0,0;2393 2394,0 0,0 1,0;
2394 2395,0 0,1 0,0;2394 2395,0 0,0 1,0;
2395 2396,0 0,1 0,0;2395 2396,0 0,0 1,0;
2396 2397,0 0,1 0,0;2396 2397,0 0,0 1,0;
2397 2398,0 0,1 0,0;2397 2398,0 0,0 1,0;
2398 2399,0 0,1 0,0;2398 2399,0 0,0 1,0;
2399 2400,0 0,1 0,0;2399 2400,0 0,0 1,0;
2400 2401,0 0,1 0,0;2400 2401,0 0,0 1,0;
2401 2402,0 0,1 0,0;2401 2402,0 0,0 1,0;
2402 2403,0 0,1 0,0;2402 2403,0 0,0 1,0;
2403 2404,0 0,1 0,0;2403 2404,0 0,0 1,0;
2404 2405,0 0,1 0,0;2404 2405,0 0,0 1,0;
2405 2406,0 0,1 0,0;2405 2406,0 0,0 1,0;
2406 2407,0 0,1 0,0;2406 2407,0 0,0 1,0;
2407 2408,0 0,1 0,0;2407 2408,0 0,0 1,0;
7 2408,0 0,1 0,0;7 2408,0 0,0 1,0;
7 8 9,0 1 2,1 1 1,1.0736198425846504;7 8 9,0 0 1,0 1 1,1.0736198425846504;7 8 9,0 0 1,1 0 1,1.0736198425846504;7 8 9,0 1 0,0 1 1,1.0736198425846504;7 8 9,0 1 0,1 1 0,1.0736198425846504;7 8 9,0 1 1,1 1 0,1.0736198425846504;7 8 9,0 1 1,1 0 1,1.0736198425846504;7 8 9,0 0 0,0 1 0,1.0736198425846504;7 8 9,0 0 0,0 0 1,1.0736198425846504;7 8 9,0 0 0,1 0 0,1.0736198425846504;
8 2409,0 0,1 0,0;8 2409,0 0,0 1,0;
2409 2410,0 0,1 0,0;2409 2410,0 0,0 1,0;
2410 2411,0 0,1 0,0;2410 2411,0 0,0 1,0;
2411 2412,0 0,1 0,0;2411 2412,0 0,0 1,0;
11 2412,0 0,1 0,0;11 2412,0 0,0 1,0;
11 12 13,0 1 2,1 1 1,1.0736198425846504;11 12 13,0 0 1,1 0 1,1.0736198425846504;11 12 13,0 0 1,0 1 1,1.0736198425846504;11 12 13,0 1 0,1 1 0,1.0736198425846504;11 12 13,0 1 0,0 1 1,1.0736198425846504;11 12 13,0 1 1,1 1 0,1.0736198425846504;11 12 13,0 1 1,1 0 1,1.0736198425846504;11 12 13,0 0 0,1 0 0,1.0736198425846504;11 12 13,0 0 0,0 1 0,1.0736198425846504;11 12 13,0 0 0,0 0 1,1.0736198425846504;
12 2413,0 0,1 0,0;12 2413,0 0,0 1,0;
15 2413,0 0,1 0,0;15 2413,0 0,0 1,0;
15,0,1,0;
16,0,1,0;
16 2414,0 0,1 0,0;16 2414,0 0,0 1,0;
2414 2415,0 0,1 0,0;2414 2415,0 0,0 1,0;
2415 2416,0 0,1 0,0;2415 2416,0 0,0 1,0;
18 2416,0 0,1 0,0;18 2416,0 0,0 1,0;
18 19 20,0 1 2,1 1 1,1.0736198425846504;18 19 20,0 0 1,1 0 1,1.0736198425846504;18 19 20,0 0 1,0 1 1,1.0736198425846504;18 19 20,0 1 0,1 1 0,1.0736198425846504;18 19 20,0 1 0,0 1 1,1.0736198425846504;18 19 20,0 1 1,1 1 0,1.0736198425846504;18 19 20,0 1 1,1 0 1,1.0736198425846504;18 19 20,0 0 0,1 0 0,1.0736198425846504;18 19 20,0 0 0,0 1 0,1.0736198425846504;18 19 20,0 0 0,0 0 1,1.0736198425846504;
19 2417,0 0,1 0,0;19 2417,0 0,0 1,0;
2417 2418,0 0,1 0,0;2417 2418,0 0,0 1,0;
2418 2419,0 0,1 0,0;2418 2419,0 0,0 1,0;
2419 2420,0 0,1 0,0;2419 2420,0 0,0 1,0;
2420 2421,0 0,1 0,0;2420 2421,0 0,0 1,0;
2421 2422,0 0,1 0,0;2421 2422,0 0,0 1,0;
2422 2423,0 0,1 0,0;2422 2423,0 0,0 1,0;
2423 2424,0 0,1 0,0;2423 2424,0 0,0 1,0;
2424 2425,0 0,1 0,0;2424 2425,0 0,0 1,0;
2425 2426,0 0,1 0,0;2425 2426,0 0,0 1,0;
2426 2427,0 0,1 0,0;2426 2427,0 0,0 1,0;
22 2427,0 0,1 0,0;22 2427,0 0,0 1,0;
22 23 24,0 1 2,1 1 1,1.0736198425846504;22 23 24,0 0 1,1 0 1,1.0736198425846504;22 23 24,0 0 1,0 1 1,1.0736198425846504;22 23 24,0 1 0,0 1 1,1.0736198425846504;22 23 24,0 1 0,1 1 0,1.0736198425846504;22 23 24,0 1 1,1 0 1,1.0736198425846504;22 23 24,0 1 1,1 1 0,1.0736198425846504;22 23 24,0 0 0,0 0 1,1.0736198425846504;22 23 24,0 0 0,1 0 0,1.0736198425846504;22 23 24,0 0 0,0 1 0,1.0736198425846504;
23 2428,0 0,1 0,0;23 2428,0 0,0 1,0;
2428 2429,0 0,1 0,0;2428 2429,0 0,0 1,0;
2429 2430,0 0,1 0,0;2429 2430,0 0,0 1,0;
2430 2431,0 0,1 0,0;2430 2431,0 0,0 1,0;
2431 2432,0 0,1 0,0;2431 2432,0 0,0 1,0;
26 2432,0 0,1 0,0;26 2432,0 0,0 1,0;
26 27 28,0 1 2,1 1 1,1.0736198425846504;26 27 28,0 0 1,1 0 1,1.0736198425846504;26 27 28,0 0 1,0 1 1,1.0736198425846504;26 27 28,0 1 0,1 1 0,1.0736198425846504;26 27 28,0 1 0,0 1 1,1.0736198425846504;26 27 28,0 1 1,1 1 0,1.0736198425846504;26 27 28,0 1 1,1 0 1,1.0736198425846504;26 27 28,0 0 0,1 0 0,1.0736198425846504;26 27 28,0 0 0,0 1 0,1.0736198425846504;26 27 28,0 0 0,0 0 1,1.0736198425846504;
27 2433,0 0,1 0,0;27 2433,0 0,0 1,0;
2433 2434,0 0,1 0,0;2433 2434,0 0,0 1,0;
2434 2435,0 0,1 0,0;2434 2435,0 0,0 1,0;
2435 2436,0 0,1 0,0;2435 2436,0 0,0 1,0;
2436 2437,0 0,1 0,0;2436 2437,0 0,0 1,0;
2437 2438,0 0,1 0,0;2437 2438,0 0,0 1,0;
2438 2439,0 0,1 0,0;2438 2439,0 0,0 1,0;
2439 2440,0 0,1 0,0;2439 2440,0 0,0 1,0;
30 2440,0 0,1 0,0;30 2440,0 0,0 1,0;
30 31 32,0 1 2,1 1 1,1.0736198425846504;30 31 32,0 0 1,1 0 1,1.0736198425846504;30 31 32,0 0 1,0 1 1,1.0736198425846504;30 31 32,0 1 0,0 1 1,1.0736198425846504;30 31 32,0 1 0,1 1 0,1.0736198425846504;30 31 32,0 1 1,1 0 1,1.0736198425846504;30 31 32,0 1 1,1 1 0,1.0736198425846504;30 31 32,0 0 0,0 0 1,1.0736198425846504;30 31 32,0 0 0,1 0 0,1.0736198425846504;30 31 32,0 0 0,0 1 0,1.0736198425846504;
34 2441,0 0,1 0,0;34 2441,0 0,0 1,0;
2441 2442,0 0,1 0,0;2441 2442,0 0,0 1,0;
2442 2443,0 0,1 0,0;2442 2443,0 0,0 1,0;
2443 2444,0 0,1 0,0;2443 2444,0 0,0 1,0;
2444 2445,0 0,1 0,0;2444 2445,0 0,0 1,0;
2445 2446,0 0,1 0,0;2445 2446,0 0,0 1,0;
2446 2447,0 0,1 0,0;2446 2447,0 0,0 1,0;
2447 2448,0 0,1 0,0;2447 2448,0 0,0 1,0;
2448 2449,0 0,1 0,0;2448 2449,0 0,0 1,0;
2449 2450,0 0,1 0,0;2449 2450,0 0,0 1,0;
2450 2451,0 0,1 0,0;2450 2451,0 0,0 1,0;
2451 2452,0 0,1 0,0;2451 2452,0 0,0 1,0;
2452 2453,0 0,1 0,0;2452 2453,0 0,0 1,0;
2453 2454,0 0,1 0,0;2453 2454,0 0,0 1,0;
2454 2455,0 0,1 0,0;2454 2455,0 0,0 1,0;
2455 2456,0 0,1 0,0;2455 2456,0 0,0 1,0;
35 2456,0 0,1 0,0;35 2456,0 0,0 1,0;
35 36 37,0 1 2,1 1 1,1.0744326935675133;35 36 37,0 0 1,1 0 1,1.074432162657445;35 36 37,0 0 1,0 1 1,1.073620373494719;35 36 37,0 1 0,1 1 0,1.003962430675014;35 36 37,0 1 0,0 1 1,1.073620373494719;35 36 37,0 1 1,1 1 0,1.0039240656614226;35 36 37,0 1 1,1 0 1,1.074432162657445;35 36 37,0 0 0,1 0 0,1.002710635543512;35 36 37,0 0 0,0 1 0,1.0016462119131748;35 36 37,0 0 0,0 0 1,1.0736198425846504;
36 2457,0 0,1 0,0;36 2457,0 0,0 1,0;
2457 2458,0 0,1 0,0;2457 2458,0 0,0 1,0;
2458 2459,0 0,1 0,0;2458 2459,0 0,0 1,0;
2459 2460,0 0,1 0,0;2459 2460,0 0,0 1,0;
39 2460,0 0,1 0,0;39 2460,0 0,0 1,0;
41 2461,0 0,1 0,0;41 2461,0 0,0 1,0;
2461 2462,0 0,1 0,0;2461 2462,0 0,0 1,0;
