1,0,1,0;
1 2127,0 0,1 0,0;1 2127,0 0,0 1,0;
2127 2128,0 0,1 0,0;2127 2128,0 0,0 1,0;
2128 2129,0 0,1 0,0;2128 2129,0 0,0 1,0;
2129 2130,0 0,1 0,0;2129 2130,0 0,0 1,0;
2130 2131,0 0,1 0,0;2130 2131,0 0,0 1,0;
2131 2132,0 0,1 0,0;2131 2132,0 0,0 1,0;
2132 2133,0 0,1 0,0;2132 2133,0 0,0 1,0;
3 2133,0 0,1 0,0;3 2133,0 0,0 1,0;
3 4 5,0 1 2,1 1 1,1.0850257336893145;3 4 5,0 0 1,1 0 1,1.0850257336893145;3 4 5,0 0 1,0 1 1,1.0850257336893145;3 4 5,0 1 0,1 1 0,1.0850257336893145;3 4 5,0 1 0,0 1 1,1.0850257336893145;3 4 5,0 1 1,1 1 0,1.0850257336893145;3 4 5,0 1 1,1 0 1,1.0850257336893145;3 4 5,0 0 0,1 0 0,1.0850257336893145;3 4 5,0 0 0,0 1 0,1.0850257336893145;3 4 5,0 0 0,0 0 1,1.0850257336893145;
4 2134,0 0,1 0,0;4 2134,0 0,0 1,0;
2134 2135,0 0,1 0,0;2134 2135,0 0,0 1,0;
2135 2136,0 0,1 0,0;2135 2136,0 0,0 1,0;
2136 2137,0 0,1 0,0;2136 2137,0 0,0 1,0;
2137 2138,0 0,1 0,0;2137 2138,0 0,0 1,0;
2138 2139,0 0,1 0,0;2138 2139,0 0,0 1,0;
7 2139,0 0,1 0,0;7 2139,0 0,0 1,0;
7 8 9,0 1 2,1 1 1,1.0850257336893145;7 8 9,0 0 1,0 1 1,1.0850257336893145;7 8 9,0 0 1,1 0 1,1.0850257336893145;7 8 9,0 1 0,0 1 1,1.0850257336893145;7 8 9,0 1 0,1 1 0,1.0850257336893145;7 8 9,0 1 1,1 1 0,1.0850257336893145;7 8 9,0 1 1,1 0 1,1.0850257336893145;7 8 9,0 0 0,0 1 0,1.0850257336893145;7 8 9,0 0 0,0 0 1,1.0850257336893145;7 8 9,0 0 0,1 0 0,1.0850257336893145;
8 2140,0 0,1 0,0;8 2140,0 0,0 1,0;
2140 2141,0 0,1 0,0;2140 2141,0 0,0 1,0;
11 2141,0 0,1 0,0;11 2141,0 0,0 1,0;
13 2142,0 0,1 0,0;13 2142,0 0,0 1,0;
2142 2143,0 0,1 0,0;2142 2143,0 0,0 1,0;
2143 2144,0 0,1 0,0;2143 2144,0 0,0 1,0;
2144 2145,0 0,1 0,0;2144 2145,0 0,0 1,0;
2145 2146,0 0,1 0,0;2145 2146,0 0,0 1,0;
2146 2147,0 0,1 0,0;2146 2147,0 0,0 1,0;
2147 2148,0 0,1 0,0;2147 2148,0 0,0 1,0;
2148 2149,0 0,1 0,0;2148 2149,0 0,0 1,0;
2149 2150,0 0,1 0,0;2149 2150,0 0,0 1,0;
2150 2151,0 0,1 0,0;2150 2151,0 0,0 1,0;
2151 2152,0 0,1 0,0;2151 2152,0 0,0 1,0;
2152 2153,0 0,1 0,0;2152 2153,0 0,0 1,0;
2153 2154,0 0,1 0,0;2153 2154,0 0,0 1,0;
2154 2155,0 0,1 0,0;2154 2155,0 0,0 1,0;
2155 2156,0 0,1 0,0;2155 2156,0 0,0 1,0;
2156 2157,0 0,1 0,0;2156 2157,0 0,0 1,0;
14 2157,0 0,1 0,0;14 2157,0 0,0 1,0;
14 15 16,0 1 2,1 1 1,1.010627360911821;14 15 16,0 0 1,1 0 1,1.0044868643343572;14 15 16,0 0 1,0 1 1,1.002601689895711;14 15 16,0 1 0,0 1 1,1.0037483345620455;14 15 16,0 1 0,1 1 0,1.005008888190179;14 15 16,0 1 1,1 0 1,1.0049043606105097;14 15 16,0 1 1,1 1 0,1.0040137885794795;14 15 16,0 0 0,0 0 1,1.0024741599012226;14 15 16,0 0 0,1 0 0,1.003716657125757;14 15 16,0 0 0,0 1 0,1.0019315169236305;
15 2158,0 0,1 0,0;15 2158,0 0,0 1,0;
2158 2159,0 0,1 0,0;2158 2159,0 0,0 1,0;
2159 2160,0 0,1 0,0;2159 2160,0 0,0 1,0;
18 2160,0 0,1 0,0;18 2160,0 0,0 1,0;
20 2161,0 0,1 0,0;20 2161,0 0,0 1,0;
2161 2162,0 0,1 0,0;2161 2162,0 0,0 1,0;
2162 2163,0 0,1 0,0;2162 2163,0 0,0 1,0;
2163 2164,0 0,1 0,0;2163 2164,0 0,0 1,0;
2164 2165,0 0,1 0,0;2164 2165,0 0,0 1,0;
2165 2166,0 0,1 0,0;2165 2166,0 0,0 1,0;
2166 2167,0 0,1 0,0;2166 2167,0 0,0 1,0;
2167 2168,0 0,1 0,0;2167 2168,0 0,0 1,0;
2168 2169,0 0,1 0,0;2168 2169,0 0,0 1,0;
2169 2170,0 0,1 0,0;2169 2170,0 0,0 1,0;
2170 2171,0 0,1 0,0;2170 2171,0 0,0 1,0;
2171 2172,0 0,1 0,0;2171 2172,0 0,0 1,0;
2172 2173,0 0,1 0,0;2172 2173,0 0,0 1,0;
2173 2174,0 0,1 0,0;2173 2174,0 0,0 1,0;
2174 2175,0 0,1 0,0;2174 2175,0 0,0 1,0;
2175 2176,0 0,1 0,0;2175 2176,0 0,0 1,0;
2176 2177,0 0,1 0,0;2176 2177,0 0,0 1,0;
2177 2178,0 0,1 0,0;2177 2178,0 0,0 1,0;
21 2178,0 0,1 0,0;21 2178,0 0,0 1,0;
21 22 23,0 1 2,1 1 1,1.0863669714731323;21 22 23,0 0 1,1 0 1,1.0863409222323448;21 22 23,0 0 1,0 1 1,1.0850517829301023;21 22 23,0 1 0,1 1 0,1.0049267517761173;21 22 23,0 1 0,0 1 1,1.0850517829301023;21 22 23,0 1 1,1 1 0,1.0048366808260478;21 22 23,0 1 1,1 0 1,1.0863409222323448;21 22 23,0 0 0,1 0 0,1.0035174866317331;21 22 23,0 0 0,0 1 0,1.0016942256563413;21 22 23,0 0 0,0 0 1,1.0850257336893145;
22 2179,0 0,1 0,0;22 2179,0 0,0 1,0;
2179 2180,0 0,1 0,0;2179 2180,0 0,0 1,0;
2180 2181,0 0,1 0,0;2180 2181,0 0,0 1,0;
2181 2182,0 0,1 0,0;2181 2182,0 0,0 1,0;
2182 2183,0 0,1 0,0;2182 2183,0 0,0 1,0;
25 2183,0 0,1 0,0;25 2183,0 0,0 1,0;
25 26 27,0 1 2,1 1 1,1.0106397138368182;25 26 27,0 0 1,1 0 1,1.0046190610473238;25 26 27,0 0 1,0 1 1,1.0031443485040632;25 26 27,0 1 0,1 1 0,1.004182991823467;25 26 27,0 1 0,0 1 1,1.004216165940938;25 26 27,0 1 1,1 1 0,1.003383780212796;25 26 27,0 1 1,1 0 1,1.0050850701110539;25 26 27,0 0 0,1 0 0,1.0028075126894787;25 26 27,0 0 0,0 1 0,1.0015378451503496;25 26 27,0 0 0,0 0 1,1.0031343562565622;
26 2184,0 0,1 0,0;26 2184,0 0,0 1,0;
2184 2185,0 0,1 0,0;2184 2185,0 0,0 1,0;
2185 2186,0 0,1 0,0;2185 2186,0 0,0 1,0;
2186 2187,0 0,1 0,0;2186 2187,0 0,0 1,0;
2187 2188,0 0,1 0,0;2187 2188,0 0,0 1,0;
2188 2189,0 0,1 0,0;2188 2189,0 0,0 1,0;
2189 2190,0 0,1 0,0;2189 2190,0 0,0 1,0;
2190 2191,0 0,1 0,0;2190 2191,0 0,0 1,0;
2191 2192,0 0,1 0,0;2191 2192,0 0,0 1,0;
2192 2193,0 0,1 0,0;2192 2193,0 0,0 1,0;
2193 2194,0 0,1 0,0;2193 2194,0 0,0 1,0;
29 2194,0 0,1 0,0;29 2194,0 0,0 1,0;
29 30 31,0 1 2,1 1 1,1.086312928672851;29 30 31,0 0 1,1 0 1,1.0862922514207423;29 30 31,0 0 1,0 1 1,1.0850464109414235;29 30 31,0 1 0,1 1 0,1.0047611724139998;29 30 31,0 1 0,0 1 1,1.0850464109414235;29 30 31,0 1 1,1 1 0,1.0044835586036664;29 30 31,0 1 1,1 0 1,1.0862922514207423;29 30 31,0 0 0,1 0 0,1.0035405561477675;29 30 31,0 0 0,0 1 0,1.0013586140737565;29 30 31,0 0 0,0 0 1,1.0850257336893145;
30 2195,0 0,1 0,0;30 2195,0 0,0 1,0;
2195 2196,0 0,1 0,0;2195 2196,0 0,0 1,0;
2196 2197,0 0,1 0,0;2196 2197,0 0,0 1,0;
2197 2198,0 0,1 0,0;2197 2198,0 0,0 1,0;
2198 2199,0 0,1 0,0;2198 2199,0 0,0 1,0;
2199 2200,0 0,1 0,0;2199 2200,0 0,0 1,0;
2200 2201,0 0,1 0,0;2200 2201,0 0,0 1,0;
33 2201,0 0,1 0,0;33 2201,0 0,0 1,0;
33 34 35,0 1 2,1 1 1,1.0857949173577035;33 34 35,0 0 1,1 0 1,1.0857946657594297;33 34 35,0 0 1,0 1 1,1.0850259852875883;33 34 35,0 1 0,1 1 0,1.004396571758257;33 34 35,0 1 0,0 1 1,1.0850259852875883;33 34 35,0 1 1,1 1 0,1.0030728124508952;33 34 35,0 1 1,1 0 1,1.0857946657594297;33 34 35,0 0 0,1 0 0,1.0039353882772208;33 34 35,0 0 0,0 1 0,1.0020833880828486;33 34 35,0 0 0,0 0 1,1.0850257336893145;
34 36,0 0,1 0,0;34 36,0 0,0 1,0;
36 37 38 39,0 1 2 3,1 1 1 1,1.0856132232117786;36 37 38 39,0 0 1 2,1 0 1 1,1.0855947825694343;36 37 38 39,0 0 1 2,0 1 1 1,1.0854682631733796;36 37 38 39,0 1 0 2,1 1 0 1,1.0851891343700582;36 37 38 39,0 1 0 2,0 1 1 1,1.0854682631733796;36 37 38 39,0 1 1 2,1 1 0 1,1.0851891343700582;36 37 38 39,0 1 1 2,1 0 1 1,1.0855947825694343;36 37 38 39,0 0 0 1,1 0 0 1,1.0851706937277137;36 37 38 39,0 0 0 1,0 1 0 1,1.085044174331659;36 37 38 39,0 0 0 1,0 0 1 1,1.0854498225310352;36 37 38 39,0 1 2 0,1 1 1 0,1.004732484955653;36 37 38 39,0 1 2 0,0 1 1 1,1.0854682631733796;36 37 38 39,0 1 2 1,1 1 1 0,1.005695804714154;36 37 38 39,0 1 2 1,1 0 1 1,1.0855947825694343;36 37 38 39,0 1 2 2,1 1 1 0,1.0046833154290327;36 37 38 39,0 1 2 2,1 1 0 1,1.0851891343700582;36 37 38 39,0 0 1 0,1 0 1 0,1.004921888266108;36 37 38 39,0 0 1 0,0 1 1 0,1.003830785973109;36 37 38 39,0 0 1 0,0 0 1 1,1.0854498225310352;36 37 38 39,0 0 1 1,1 0 1 0,1.0021026860697198;36 37 38 39,0 0 1 1,1 0 0 1,1.0851706937277137;36 37 38 39,0 0 1 1,0 1 1 0,1.0015399264911637;36 37 38 39,0 0 1 1,0 1 0 1,1.085044174331659;36 37 38 39,0 1 0 0,1 1 0 0,1.004076724539661;36 37 38 39,0 1 0 0,0 1 1 0,1.0035836876226478;36 37 38 39,0 1 0 0,0 1 0 1,1.085044174331659;36 37 38 39,0 1 0 1,1 1 0 0,1.0024725084965072;36 37 38 39,0 1 0 1,1 0 0 1,1.0851706937277137;36 37 38 39,0 1 0 1,0 1 1 0,1.0024179119012275;36 37 38 39,0 1 0 1,0 0 1 1,1.0854498225310352;36 37 38 39,0 1 1 0,1 1 0 0,1.0021054387027435;36 37 38 39,0 1 1 0,1 0 1 0,1.002780860772829;36 37 38 39,0 1 1 0,0 1 0 1,1.085044174331659;36 37 38 39,0 1 1 0,0 0 1 1,1.0854498225310352;36 37 38 39,0 1 1 1,1 1 0 0,1.0032516076288562;36 37 38 39,0 1 1 1,1 0 1 0,1.0053465338805427;36 37 38 39,0 1 1 1,1 0 0 1,1.0851706937277137;36 37 38 39,0 0 0 0,1 0 0 0,1.0025153627619598;36 37 38 39,0 0 0 0,0 1 0 0,1.0015984735670809;36 37 38 39,0 0 0 0,0 0 1 0,1.002851586692916;36 37 38 39,0 0 0 0,0 0 0 1,1.0850257336893145;
37 2202,0 0,1 0,0;37 2202,0 0,0 1,0;
2202 2203,0 0,1 0,0;2202 2203,0 0,0 1,0;
2203 2204,0 0,1 0,0;2203 2204,0 0,0 1,0;
2204 2205,0 0,1 0,0;2204 2205,0 0,0 1,0;
2205 2206,0 0,1 0,0;2205 2206,0 0,0 1,0;
2206 2207,0 0,1 0,0;2206 2207,0 0,0 1,0;
2207 2208,0 0,1 0,0;2207 2208,0 0,0 1,0;
2208 2209,0 0,1 0,0;2208 2209,0 0,0 1,0;
2209 2210,0 0,1 0,0;2209 2210,0 0,0 1,0;
2210 2211,0 0,1 0,0;2210 2211,0 0,0 1,0;
2211 2212,0 0,1 0,0;2211 2212,0 0,0 1,0;
2212 2213,0 0,1 0,0;2212 2213,0 0,0 1,0;
2213 2214,0 0,1 0,0;2213 2214,0 0,0 1,0;
2214 2215,0 0,1 0,0;2214 2215,0 0,0 1,0;
2215 2216,0 0,1 0,0;2215 2216,0 0,0 1,0;
2216 2217,0 0,1 0,0;2216 2217,0 0,0 1,0;
2217 2218,0 0,1 0,0;2217 2218,0 0,0 1,0;
41 2218,0 0,1 0,0;41 2218,0 0,0 1,0;
41 42 43,0 1 2,1 1 1,1.0862639007062453;41 42 43,0 0 1,1 0 1,1.0048831940809495;41 42 43,0 0 1,0 1 1,1.0850348257586653;41 42 43,0 1 0,1 1 0,1.0862548086368948;41 42 43,0 1 0,0 1 1,1.0850348257586653;41 42 43,0 1 1,1 1 0,1.0862548086368948;41 42 43,0 1 1,1 0 1,1.0038355488972794;41 42 43,0 0 0,1 0 0,1.004038608764361;41 42 43,0 0 0,0 1 0,1.0850257336893145;41 42 43,0 0 0,0 0 1,1.0019542644595634;
44 45 46,0 1 2,1 1 1,1.085311977064715;44 45 46,0 0 1,1 0 1,1.0043813612475767;44 45 46,0 0 1,0 1 1,1.08529267885248;44 45 46,0 1 0,1 1 0,1.0850450319015497;44 45 46,0 1 0,0 1 1,1.08529267885248;44 45 46,0 1 1,1 1 0,1.0850450319015497;44 45 46,0 1 1,1 0 1,1.0040110173700216;44 45 46,0 0 0,1 0 0,1.0018724233814702;44 45 46,0 0 0,0 1 0,1.0850257336893145;44 45 46,0 0 0,0 0 1,1.0029002740131594;
44 2219,0 0,1 0,0;44 2219,0 0,0 1,0;
2219 2220,0 0,1 0,0;2219 2220,0 0,0 1,0;
2220 2221,0 0,1 0,0;2220 2221,0 0,0 1,0;
2221 2222,0 0,1 0,0;2221 2222,0 0,0 1,0;
2222 2223,0 0,1 0,0;2222 2223,0 0,0 1,0;
2223 2224,0 0,1 0,0;2223 2224,0 0,0 1,0;
2224 2225,0 0,1 0,0;2224 2225,0 0,0 1,0;
2225 2226,0 0,1 0,0;2225 2226,0 0,0 1,0;
2226 2227,0 0,1 0,0;2226 2227,0 0,0 1,0;
2227 2228,0 0,1 0,0;2227 2228,0 0,0 1,0;
48 2228,0 0,1 0,0;48 2228,0 0,0 1,0;
50 2229,0 0,1 0,0;50 2229,0 0,0 1,0;
2229 2230,0 0,1 0,0;2229 2230,0 0,0 1,0;
2230 2231,0 0,1 0,0;2230 2231,0 0,0 1,0;
2231 2232,0 0,1 0,0;2231 2232,0 0,0 1,0;
2232 2233,0 0,1 0,0;2232 2233,0 0,0 1,0;
2233 2234,0 0,1 0,0;2233 2234,0 0,0 1,0;
2234 2235,0 0,1 0,0;2234 2235,0 0,0 1,0;
2235 2236,0 0,1 0,0;2235 2236,0 0,0 1,0;
2236 2237,0 0,1 0,0;2236 2237,0 0,0 1,0;
2237 2238,0 0,1 0,0;2237 2238,0 0,0 1,0;
2238 2239,0 0,1 0,0;2238 2239,0 0,0 1,0;
2239 2240,0 0,1 0,0;2239 2240,0 0,0 1,0;
2240 2241,0 0,1 0,0;2240 2241,0 0,0 1,0;
2241 2242,0 0,1 0,0;2241 2242,0 0,0 1,0;
2242 2243,0 0,1 0,0;2242 2243,0 0,0 1,0;
2243 2244,0 0,1 0,0;2243 2244,0 0,0 1,0;
2244 2245,0 0,1 0,0;2244 2245,0 0,0 1,0;
2245 2246,0 0,1 0,0;2245 2246,0 0,0 1,0;
2246 2247,0 0,1 0,0;2246 2247,0 0,0 1,0;
2247 2248,0 0,1 0,0;2247 2248,0 0,0 1,0;
2248 2249,0 0,1 0,0;2248 2249,0 0,0 1,0;
2249 2250,0 0,1 0,0;2249 2250,0 0,0 1,0;
